tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
2129,2018-05-01 11:36:41.2980,2018-05-01 12:12:10.4080,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,21285,Customer,1969,0
2223,2018-05-01 11:37:08.0010,2018-05-01 12:14:11.5920,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,26790,Customer,1969,0
1280,2018-05-01 11:53:21.8880,2018-05-01 12:14:42.1510,3182,Yankee Ferry Terminal,40.686931,-74.016966,3479,Picnic Point,40.68512559515415,-74.02535319328308,20857,Customer,1969,0
1248,2018-05-01 11:53:37.2720,2018-05-01 12:14:25.8200,3182,Yankee Ferry Terminal,40.686931,-74.016966,3479,Picnic Point,40.68512559515415,-74.02535319328308,31514,Customer,1969,0
1211,2018-05-01 11:57:08.9280,2018-05-01 12:17:20.2470,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,20652,Customer,1969,0
1184,2018-05-01 11:57:20.0670,2018-05-01 12:17:04.4360,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,16251,Customer,1969,0
2844,2018-05-01 11:57:56.1990,2018-05-01 12:45:20.7280,3182,Yankee Ferry Terminal,40.686931,-74.016966,3182,Yankee Ferry Terminal,40.686931,-74.016966,15115,Customer,1969,0
2772,2018-05-01 11:59:18.1830,2018-05-01 12:45:30.6820,3182,Yankee Ferry Terminal,40.686931,-74.016966,3182,Yankee Ferry Terminal,40.686931,-74.016966,21183,Customer,1969,0
1012,2018-05-01 12:29:19.3860,2018-05-01 12:46:12.0670,3182,Yankee Ferry Terminal,40.686931,-74.016966,3182,Yankee Ferry Terminal,40.686931,-74.016966,31308,Customer,1969,0
983,2018-05-01 12:29:40.3260,2018-05-01 12:46:04.2050,3182,Yankee Ferry Terminal,40.686931,-74.016966,3182,Yankee Ferry Terminal,40.686931,-74.016966,26352,Customer,1969,0
1300,2018-05-01 12:55:59.6900,2018-05-01 13:17:40.1430,3182,Yankee Ferry Terminal,40.686931,-74.016966,3182,Yankee Ferry Terminal,40.686931,-74.016966,33014,Subscriber,1988,2
451,2018-05-01 13:02:20.8460,2018-05-01 13:09:52.6160,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,20839,Customer,1969,0
460,2018-05-01 13:02:21.7490,2018-05-01 13:10:02.1270,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,30820,Customer,1969,0
422,2018-05-01 13:02:47.8260,2018-05-01 13:09:50.7090,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,28890,Customer,1969,0
382,2018-05-01 13:03:11.7230,2018-05-01 13:09:34.6870,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,20652,Customer,1985,2
284,2018-05-01 13:19:21.9230,2018-05-01 13:24:06.3530,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,16251,Customer,1969,0
272,2018-05-01 13:19:50.4560,2018-05-01 13:24:22.8400,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,27479,Customer,1969,0
1987,2018-05-01 13:23:00.5530,2018-05-01 13:56:08.3130,3182,Yankee Ferry Terminal,40.686931,-74.016966,3182,Yankee Ferry Terminal,40.686931,-74.016966,31159,Subscriber,1988,2
1419,2018-05-01 13:24:23.2670,2018-05-01 13:48:02.6490,3182,Yankee Ferry Terminal,40.686931,-74.016966,3182,Yankee Ferry Terminal,40.686931,-74.016966,20857,Customer,1969,0
1329,2018-05-01 13:25:59.5670,2018-05-01 13:48:08.8020,3182,Yankee Ferry Terminal,40.686931,-74.016966,3182,Yankee Ferry Terminal,40.686931,-74.016966,18985,Customer,1969,0
369,2018-05-01 14:00:57.2500,2018-05-01 14:07:06.8870,3182,Yankee Ferry Terminal,40.686931,-74.016966,3479,Picnic Point,40.68512559515415,-74.02535319328308,33014,Subscriber,1988,2
354,2018-05-01 16:24:16.5640,2018-05-01 16:30:11.1700,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,30641,Subscriber,1994,1
339,2018-05-01 16:24:38.6540,2018-05-01 16:30:18.1320,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,31159,Subscriber,1991,2
589,2018-05-01 16:41:58.3350,2018-05-01 16:51:47.4520,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,28378,Subscriber,1886,1
1442,2018-05-02 11:51:58.9830,2018-05-02 12:16:01.6000,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,33131,Customer,1969,0
1393,2018-05-02 11:52:58.6200,2018-05-02 12:16:12.5150,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,28378,Customer,1969,0
305,2018-05-02 12:10:28.3070,2018-05-02 12:15:34.2400,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,27166,Subscriber,1983,1
1584,2018-05-02 12:32:52.2480,2018-05-02 12:59:16.6650,3182,Yankee Ferry Terminal,40.686931,-74.016966,3182,Yankee Ferry Terminal,40.686931,-74.016966,19068,Customer,1969,0
12078,2018-05-02 12:33:19.3390,2018-05-02 15:54:38.0430,3182,Yankee Ferry Terminal,40.686931,-74.016966,3182,Yankee Ferry Terminal,40.686931,-74.016966,20857,Customer,1969,0
1756,2018-05-02 12:44:53.1770,2018-05-02 13:14:09.6080,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,26711,Customer,1969,0
1735,2018-05-02 12:45:13.2830,2018-05-02 13:14:08.6690,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,30918,Customer,1969,0
364,2018-05-02 13:11:53.2770,2018-05-02 13:17:57.8810,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,18356,Customer,1969,0
372,2018-05-02 13:12:01.8870,2018-05-02 13:18:14.8220,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,28786,Customer,1969,0
4086,2018-05-02 13:53:43.9230,2018-05-02 15:01:50.8360,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,20774,Customer,1969,0
4071,2018-05-02 13:54:35.5640,2018-05-02 15:02:27.2180,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,21183,Customer,1969,0
2129,2018-05-02 14:46:47.6850,2018-05-02 15:22:17.2280,3182,Yankee Ferry Terminal,40.686931,-74.016966,3479,Picnic Point,40.68512559515415,-74.02535319328308,30561,Subscriber,1971,1
2112,2018-05-02 14:47:02.2180,2018-05-02 15:22:14.5020,3182,Yankee Ferry Terminal,40.686931,-74.016966,3479,Picnic Point,40.68512559515415,-74.02535319328308,31308,Subscriber,1983,2
541,2018-05-02 15:50:44.8080,2018-05-02 15:59:45.9650,3182,Yankee Ferry Terminal,40.686931,-74.016966,3479,Picnic Point,40.68512559515415,-74.02535319328308,21089,Customer,1969,0
548,2018-05-02 15:51:18.7360,2018-05-02 16:00:27.7280,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,30820,Subscriber,1951,2
555,2018-05-02 15:51:23.3530,2018-05-02 16:00:39.1130,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,15685,Subscriber,1992,2
1806,2018-05-02 15:56:46.3460,2018-05-02 16:26:52.8680,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,27166,Subscriber,1947,1
236,2018-05-02 16:06:39.6180,2018-05-02 16:10:36.1910,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,30918,Subscriber,1963,2
865,2018-05-02 16:10:16.2300,2018-05-02 16:24:42.0470,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,31081,Subscriber,1985,1
868,2018-05-02 16:10:17.2230,2018-05-02 16:24:46.1320,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,30641,Subscriber,1963,1
861,2018-05-02 16:38:02.4110,2018-05-02 16:52:23.4500,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,30459,Customer,1988,2
1598,2018-05-03 14:37:30.9760,2018-05-03 15:04:09.4030,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,30918,Subscriber,1973,2
1586,2018-05-03 14:37:39.4290,2018-05-03 15:04:05.8420,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,31514,Subscriber,1974,1
1494,2018-05-03 14:39:42.0860,2018-05-03 15:04:36.9800,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,33014,Customer,1969,0
607,2018-05-03 15:59:34.0070,2018-05-03 16:09:41.0850,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,20774,Customer,1969,0
596,2018-05-03 15:59:35.4330,2018-05-03 16:09:31.9900,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,20857,Customer,1969,0
383,2018-05-03 17:14:50.9850,2018-05-03 17:21:14.6910,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,18356,Customer,1969,0
332,2018-05-03 17:15:16.6690,2018-05-03 17:20:48.8480,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,18985,Subscriber,1973,1
1866,2018-05-04 13:52:51.1570,2018-05-04 14:23:57.8000,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,17261,Customer,1969,0
1870,2018-05-04 13:52:58.1240,2018-05-04 14:24:08.2110,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,19068,Customer,1969,0
352,2018-05-04 13:54:09.3460,2018-05-04 14:00:01.6740,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,20774,Customer,1969,0
355,2018-05-04 13:54:10.2490,2018-05-04 14:00:05.7050,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,31159,Customer,1969,0
263,2018-05-04 14:16:12.8690,2018-05-04 14:20:36.1970,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,20839,Subscriber,1969,2
5484,2018-05-04 14:45:57.9290,2018-05-04 16:17:22.3700,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,28503,Customer,1969,0
5492,2018-05-04 14:45:58.5380,2018-05-04 16:17:31.0610,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,18356,Customer,1969,0
242,2018-05-04 14:59:23.4890,2018-05-04 15:03:26.0930,3182,Yankee Ferry Terminal,40.686931,-74.016966,3479,Picnic Point,40.68512559515415,-74.02535319328308,26882,Subscriber,1972,1
3008,2018-05-04 15:32:57.9440,2018-05-04 16:23:06.5600,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,32943,Customer,1983,2
2789,2018-05-04 15:36:16.4830,2018-05-04 16:22:46.1910,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,30571,Customer,1954,2
274,2018-05-04 15:55:47.2970,2018-05-04 16:00:21.6320,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,30561,Subscriber,1972,1
6125,2018-05-05 10:33:44.2920,2018-05-05 12:15:50.2400,3182,Yankee Ferry Terminal,40.686931,-74.016966,3182,Yankee Ferry Terminal,40.686931,-74.016966,32053,Subscriber,1967,1
1591,2018-05-05 10:38:03.5550,2018-05-05 11:04:35.4580,3182,Yankee Ferry Terminal,40.686931,-74.016966,3182,Yankee Ferry Terminal,40.686931,-74.016966,17261,Subscriber,1962,1
230,2018-05-05 10:43:27.8500,2018-05-05 10:47:18.8300,3182,Yankee Ferry Terminal,40.686931,-74.016966,3182,Yankee Ferry Terminal,40.686931,-74.016966,18826,Subscriber,1978,1
256,2018-05-05 11:13:43.8750,2018-05-05 11:18:00.7040,3182,Yankee Ferry Terminal,40.686931,-74.016966,3479,Picnic Point,40.68512559515415,-74.02535319328308,26711,Subscriber,1982,1
1169,2018-05-05 11:18:11.9100,2018-05-05 11:37:41.7900,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,21089,Customer,1969,0
1161,2018-05-05 11:18:27.5950,2018-05-05 11:37:49.4860,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,20652,Customer,1969,0
1724,2018-05-05 11:21:01.5850,2018-05-05 11:49:46.1010,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,17261,Customer,1969,0
1718,2018-05-05 11:21:14.2300,2018-05-05 11:49:52.6850,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,17659,Customer,1969,0
578,2018-05-05 11:25:45.4490,2018-05-05 11:35:23.4870,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,16258,Customer,1969,0
572,2018-05-05 11:25:55.5790,2018-05-05 11:35:28.3360,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,19003,Customer,1969,0
7471,2018-05-05 11:45:42.3420,2018-05-05 13:50:13.5670,3182,Yankee Ferry Terminal,40.686931,-74.016966,3182,Yankee Ferry Terminal,40.686931,-74.016966,27698,Subscriber,1978,2
2037,2018-05-05 11:47:06.2690,2018-05-05 12:21:03.4070,3182,Yankee Ferry Terminal,40.686931,-74.016966,3182,Yankee Ferry Terminal,40.686931,-74.016966,28786,Subscriber,1992,2
1990,2018-05-05 11:47:56.7720,2018-05-05 12:21:07.4020,3182,Yankee Ferry Terminal,40.686931,-74.016966,3182,Yankee Ferry Terminal,40.686931,-74.016966,20765,Subscriber,1991,2
378,2018-05-05 11:51:02.0900,2018-05-05 11:57:20.8340,3182,Yankee Ferry Terminal,40.686931,-74.016966,3479,Picnic Point,40.68512559515415,-74.02535319328308,27951,Customer,1973,1
2098,2018-05-05 11:53:40.7980,2018-05-05 12:28:39.4550,3182,Yankee Ferry Terminal,40.686931,-74.016966,3182,Yankee Ferry Terminal,40.686931,-74.016966,25190,Subscriber,1969,1
2642,2018-05-05 12:31:07.3910,2018-05-05 13:15:09.9080,3182,Yankee Ferry Terminal,40.686931,-74.016966,3479,Picnic Point,40.68512559515415,-74.02535319328308,32053,Subscriber,1969,1
2180,2018-05-05 12:34:03.0130,2018-05-05 13:10:23.0730,3182,Yankee Ferry Terminal,40.686931,-74.016966,3182,Yankee Ferry Terminal,40.686931,-74.016966,28378,Subscriber,1979,1
2037,2018-05-05 12:36:09.0740,2018-05-05 13:10:06.1670,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,28786,Customer,1969,0
2049,2018-05-05 12:36:17.5550,2018-05-05 13:10:26.6880,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,15115,Customer,1969,0
2024,2018-05-05 12:36:23.2540,2018-05-05 13:10:08.1420,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,25190,Customer,1969,0
2019,2018-05-05 12:36:26.5660,2018-05-05 13:10:06.3610,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,27166,Subscriber,1989,1
1105,2018-05-05 12:42:20.2370,2018-05-05 13:00:45.5760,3182,Yankee Ferry Terminal,40.686931,-74.016966,3479,Picnic Point,40.68512559515415,-74.02535319328308,21285,Customer,1969,0
1090,2018-05-05 12:42:20.8300,2018-05-05 13:00:31.0970,3182,Yankee Ferry Terminal,40.686931,-74.016966,3479,Picnic Point,40.68512559515415,-74.02535319328308,20765,Customer,1969,0
1096,2018-05-05 12:42:23.8770,2018-05-05 13:00:40.5600,3182,Yankee Ferry Terminal,40.686931,-74.016966,3479,Picnic Point,40.68512559515415,-74.02535319328308,28337,Customer,1969,0
1047,2018-05-05 12:43:05.7640,2018-05-05 13:00:33.3060,3182,Yankee Ferry Terminal,40.686931,-74.016966,3479,Picnic Point,40.68512559515415,-74.02535319328308,26882,Customer,1969,0
1032,2018-05-05 12:43:16.9800,2018-05-05 13:00:29.8570,3182,Yankee Ferry Terminal,40.686931,-74.016966,3479,Picnic Point,40.68512559515415,-74.02535319328308,21183,Customer,1969,0
332,2018-05-05 12:43:43.0000,2018-05-05 12:49:15.5790,3182,Yankee Ferry Terminal,40.686931,-74.016966,3479,Picnic Point,40.68512559515415,-74.02535319328308,33014,Subscriber,1993,1
1523,2018-05-05 12:45:18.3980,2018-05-05 13:10:41.4370,3182,Yankee Ferry Terminal,40.686931,-74.016966,3182,Yankee Ferry Terminal,40.686931,-74.016966,31514,Subscriber,1967,2
1298,2018-05-05 12:45:57.4130,2018-05-05 13:07:36.2630,3182,Yankee Ferry Terminal,40.686931,-74.016966,3182,Yankee Ferry Terminal,40.686931,-74.016966,17659,Customer,1993,2
1835,2018-05-05 12:46:15.2310,2018-05-05 13:16:50.5200,3182,Yankee Ferry Terminal,40.686931,-74.016966,3182,Yankee Ferry Terminal,40.686931,-74.016966,15273,Customer,1969,0
1846,2018-05-05 12:46:16.9580,2018-05-05 13:17:03.1710,3182,Yankee Ferry Terminal,40.686931,-74.016966,3182,Yankee Ferry Terminal,40.686931,-74.016966,30459,Customer,1969,0
1281,2018-05-05 12:46:26.6270,2018-05-05 13:07:48.3730,3182,Yankee Ferry Terminal,40.686931,-74.016966,3182,Yankee Ferry Terminal,40.686931,-74.016966,17261,Subscriber,1977,2
1433,2018-05-05 12:46:46.2800,2018-05-05 13:10:39.6470,3182,Yankee Ferry Terminal,40.686931,-74.016966,3182,Yankee Ferry Terminal,40.686931,-74.016966,26352,Customer,1969,0
1453,2018-05-05 12:46:47.7710,2018-05-05 13:11:01.3650,3182,Yankee Ferry Terminal,40.686931,-74.016966,3182,Yankee Ferry Terminal,40.686931,-74.016966,17587,Customer,1969,0
1736,2018-05-05 12:47:00.7180,2018-05-05 13:15:57.4740,3182,Yankee Ferry Terminal,40.686931,-74.016966,3182,Yankee Ferry Terminal,40.686931,-74.016966,18826,Customer,1969,0
1133,2018-05-05 12:53:59.8430,2018-05-05 13:12:53.7870,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,30696,Customer,1992,2
1837,2018-05-05 12:55:52.5080,2018-05-05 13:26:29.9040,3182,Yankee Ferry Terminal,40.686931,-74.016966,3479,Picnic Point,40.68512559515415,-74.02535319328308,21089,Customer,1969,0
1822,2018-05-05 12:56:03.3600,2018-05-05 13:26:26.0130,3182,Yankee Ferry Terminal,40.686931,-74.016966,3479,Picnic Point,40.68512559515415,-74.02535319328308,27479,Customer,1969,0
1782,2018-05-05 12:56:56.1500,2018-05-05 13:26:38.4050,3182,Yankee Ferry Terminal,40.686931,-74.016966,3479,Picnic Point,40.68512559515415,-74.02535319328308,20652,Customer,1969,0
1704,2018-05-05 12:58:00.9030,2018-05-05 13:26:25.1830,3182,Yankee Ferry Terminal,40.686931,-74.016966,3479,Picnic Point,40.68512559515415,-74.02535319328308,19053,Customer,1969,0
529,2018-05-05 12:59:50.1810,2018-05-05 13:08:40.0970,3182,Yankee Ferry Terminal,40.686931,-74.016966,3479,Picnic Point,40.68512559515415,-74.02535319328308,27951,Subscriber,1994,1
965,2018-05-05 13:05:19.3340,2018-05-05 13:21:24.9910,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,26790,Customer,1969,0
906,2018-05-05 13:05:43.7770,2018-05-05 13:20:49.8470,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,25731,Customer,1969,0
1189,2018-05-05 13:14:14.3050,2018-05-05 13:34:03.3390,3182,Yankee Ferry Terminal,40.686931,-74.016966,3479,Picnic Point,40.68512559515415,-74.02535319328308,26352,Customer,1969,0
2654,2018-05-05 13:15:10.3470,2018-05-05 13:59:24.5170,3182,Yankee Ferry Terminal,40.686931,-74.016966,3182,Yankee Ferry Terminal,40.686931,-74.016966,25698,Customer,1969,0
2592,2018-05-05 13:15:49.5920,2018-05-05 13:59:01.7210,3182,Yankee Ferry Terminal,40.686931,-74.016966,3479,Picnic Point,40.68512559515415,-74.02535319328308,17659,Subscriber,1967,2
1483,2018-05-05 13:15:53.8310,2018-05-05 13:40:37.4900,3182,Yankee Ferry Terminal,40.686931,-74.016966,3182,Yankee Ferry Terminal,40.686931,-74.016966,28378,Customer,1995,1
2511,2018-05-05 13:17:04.3290,2018-05-05 13:58:55.5960,3182,Yankee Ferry Terminal,40.686931,-74.016966,3182,Yankee Ferry Terminal,40.686931,-74.016966,26518,Customer,1969,0
890,2018-05-05 13:19:02.3140,2018-05-05 13:33:52.7060,3182,Yankee Ferry Terminal,40.686931,-74.016966,3479,Picnic Point,40.68512559515415,-74.02535319328308,31514,Customer,1969,0
1263,2018-05-05 13:19:27.2840,2018-05-05 13:40:30.8060,3182,Yankee Ferry Terminal,40.686931,-74.016966,3182,Yankee Ferry Terminal,40.686931,-74.016966,15273,Customer,1978,1
879,2018-05-05 13:20:49.2080,2018-05-05 13:35:28.3920,3182,Yankee Ferry Terminal,40.686931,-74.016966,3479,Picnic Point,40.68512559515415,-74.02535319328308,19015,Customer,1969,0
96,2018-05-05 13:21:53.8910,2018-05-05 13:23:30.2460,3182,Yankee Ferry Terminal,40.686931,-74.016966,3182,Yankee Ferry Terminal,40.686931,-74.016966,18826,Customer,1969,0
719,2018-05-05 13:22:05.6660,2018-05-05 13:34:05.3890,3182,Yankee Ferry Terminal,40.686931,-74.016966,3479,Picnic Point,40.68512559515415,-74.02535319328308,30459,Customer,1969,0
242,2018-05-05 13:29:51.0260,2018-05-05 13:33:53.4630,3182,Yankee Ferry Terminal,40.686931,-74.016966,3182,Yankee Ferry Terminal,40.686931,-74.016966,20765,Customer,1969,0
811,2018-05-05 13:31:29.3090,2018-05-05 13:45:00.3540,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,28891,Customer,1969,0
770,2018-05-05 13:32:04.1590,2018-05-05 13:44:54.5450,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,15115,Customer,1969,0
772,2018-05-05 13:32:14.9070,2018-05-05 13:45:07.7610,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,18826,Customer,1969,0
1808,2018-05-05 13:35:36.6540,2018-05-05 14:05:45.6430,3182,Yankee Ferry Terminal,40.686931,-74.016966,3479,Picnic Point,40.68512559515415,-74.02535319328308,20765,Customer,1990,2
408,2018-05-05 13:39:33.2990,2018-05-05 13:46:21.8600,3182,Yankee Ferry Terminal,40.686931,-74.016966,3479,Picnic Point,40.68512559515415,-74.02535319328308,32129,Subscriber,1976,2
1487,2018-05-05 13:40:58.1500,2018-05-05 14:05:45.7660,3182,Yankee Ferry Terminal,40.686931,-74.016966,3479,Picnic Point,40.68512559515415,-74.02535319328308,28378,Customer,1986,1
293,2018-05-05 13:43:43.9230,2018-05-05 13:48:37.2810,3182,Yankee Ferry Terminal,40.686931,-74.016966,3479,Picnic Point,40.68512559515415,-74.02535319328308,18356,Customer,1972,1
530,2018-05-05 13:44:14.9910,2018-05-05 13:53:05.1300,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,15273,Customer,1969,0
257,2018-05-05 13:44:20.3880,2018-05-05 13:48:37.4010,3182,Yankee Ferry Terminal,40.686931,-74.016966,3479,Picnic Point,40.68512559515415,-74.02535319328308,19003,Customer,1972,2
499,2018-05-05 13:44:32.6170,2018-05-05 13:52:52.4730,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,30571,Subscriber,1988,1
587,2018-05-05 13:44:59.7530,2018-05-05 13:54:46.9920,3182,Yankee Ferry Terminal,40.686931,-74.016966,3479,Picnic Point,40.68512559515415,-74.02535319328308,17261,Subscriber,1968,1
1773,2018-05-05 13:45:38.7530,2018-05-05 14:15:12.1770,3182,Yankee Ferry Terminal,40.686931,-74.016966,3182,Yankee Ferry Terminal,40.686931,-74.016966,21089,Customer,1969,0
1753,2018-05-05 13:45:59.7170,2018-05-05 14:15:13.4510,3182,Yankee Ferry Terminal,40.686931,-74.016966,3182,Yankee Ferry Terminal,40.686931,-74.016966,15685,Subscriber,1965,1
203,2018-05-05 13:48:10.2690,2018-05-05 13:51:33.2950,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,27479,Subscriber,1991,2
2453,2018-05-05 13:48:32.1280,2018-05-05 14:29:25.2120,3182,Yankee Ferry Terminal,40.686931,-74.016966,3254,Soissons Landing,40.69231660719192,-74.01486575603484,17308,Subscriber,1976,1
1470,2018-05-05 14:00:47.1380,2018-05-05 14:25:17.4110,3182,Yankee Ferry Terminal,40.686931,-74.016966,3182,Yankee Ferry Terminal,40.686931,-74.016966,27166,Customer,1969,0
1423,2018-05-05 14:01:21.4820,2018-05-05 14:25:04.6780,3182,Yankee Ferry Terminal,40.686931,-74.016966,3182,Yankee Ferry Terminal,40.686931,-74.016966,30696,Customer,1969,0
2181,2018-05-05 14:04:03.9550,2018-05-05 14:40:25.9000,3182,Yankee Ferry Terminal,40.686931,-74.016966,3182,Yankee Ferry Terminal,40.686931,-74.016966,32053,Subscriber,1969,1
5400,2018-05-05 14:11:33.6190,2018-05-05 15:41:34.1030,3182,Yankee Ferry Terminal,40.686931,-74.016966,3472,W 15 St & 10 Ave,40.742753828659026,-74.00747358798982,30561,Subscriber,1977,1
